site,time,unit,value
Milford Haven Grid,2025-11-12T16:35:00+00:00,MW,-0.7079999999999984
Milford Haven Grid,2025-11-12T16:40:00+00:00,MW,-0.7519999999999953
Milford Haven Grid,2025-11-12T16:45:00+00:00,MW,-0.9359999999999928
Milford Haven Grid,2025-11-12T16:50:00+00:00,MW,-0.9289999999999949
Milford Haven Grid,2025-11-12T16:55:00+00:00,MW,-0.9100000000000037
Milford Haven Grid,2025-11-12T17:00:00+00:00,MW,-0.992999999999995
Milford Haven Grid,2025-11-12T17:05:00+00:00,MW,-0.9309999999999974
Milford Haven Grid,2025-11-12T17:10:00+00:00,MW,-0.9820000000000064
Milford Haven Grid,2025-11-12T17:15:00+00:00,MW,-0.9320000000000022
Milford Haven Grid,2025-11-12T17:20:00+00:00,MW,-0.8780000000000001
Milford Haven Grid,2025-11-12T17:25:00+00:00,MW,-0.9839999999999982
Milford Haven Grid,2025-11-12T17:30:00+00:00,MW,-0.9790000000000028
Milford Haven Grid,2025-11-12T17:35:00+00:00,MW,-1.0429999999999993
Milford Haven Grid,2025-11-12T17:40:00+00:00,MW,-1.0919999999999952
Milford Haven Grid,2025-11-12T17:45:00+00:00,MW,-0.943000000000005
Milford Haven Grid,2025-11-12T17:50:00+00:00,MW,-1.1409999999999982
Milford Haven Grid,2025-11-12T17:55:00+00:00,MW,-0.9090000000000096
Milford Haven Grid,2025-11-12T18:00:00+00:00,MW,-0.9549999999999983
Milford Haven Grid,2025-11-12T18:05:00+00:00,MW,-0.9040000000000035
Milford Haven Grid,2025-11-12T18:10:00+00:00,MW,-0.9179999999999957
Milford Haven Grid,2025-11-12T18:15:00+00:00,MW,-0.9749999999999979
Milford Haven Grid,2025-11-12T18:20:00+00:00,MW,-0.9230000000000018
Milford Haven Grid,2025-11-12T18:25:00+00:00,MW,-0.9159999999999968
Milford Haven Grid,2025-11-12T18:30:00+00:00,MW,-0.9420000000000002
Milford Haven Grid,2025-11-12T18:35:00+00:00,MW,-0.9670000000000059
Milford Haven Grid,2025-11-12T18:40:00+00:00,MW,-1.027000000000001
Milford Haven Grid,2025-11-12T18:45:00+00:00,MW,-0.9260000000000055
Milford Haven Grid,2025-11-12T18:50:00+00:00,MW,-1.0470000000000041
Milford Haven Grid,2025-11-12T18:55:00+00:00,MW,-0.9700000000000024
Milford Haven Grid,2025-11-12T19:00:00+00:00,MW,-0.9320000000000022
Milford Haven Grid,2025-11-12T19:05:00+00:00,MW,-1.046000000000003
Milford Haven Grid,2025-11-12T19:10:00+00:00,MW,-1.1090000000000018
Milford Haven Grid,2025-11-12T19:15:00+00:00,MW,-0.9950000000000045
Milford Haven Grid,2025-11-12T19:20:00+00:00,MW,-0.934000000000001
Milford Haven Grid,2025-11-12T19:25:00+00:00,MW,-1.0099999999999945
Milford Haven Grid,2025-11-12T19:30:00+00:00,MW,-0.9419999999999966
Milford Haven Grid,2025-11-12T19:35:00+00:00,MW,-1.0280000000000022
Milford Haven Grid,2025-11-12T19:40:00+00:00,MW,-0.8789999999999942
Milford Haven Grid,2025-11-12T19:45:00+00:00,MW,-0.8519999999999968
Milford Haven Grid,2025-11-12T19:50:00+00:00,MW,-0.8989999999999938
Milford Haven Grid,2025-11-12T19:55:00+00:00,MW,-0.9039999999999999
Milford Haven Grid,2025-11-12T20:00:00+00:00,MW,-0.8120000000000047
Milford Haven Grid,2025-11-12T20:05:00+00:00,MW,-0.7469999999999999
Milford Haven Grid,2025-11-12T20:10:00+00:00,MW,-0.8060000000000009
Milford Haven Grid,2025-11-12T20:15:00+00:00,MW,-0.8419999999999952
Milford Haven Grid,2025-11-12T20:20:00+00:00,MW,-0.8040000000000056
Milford Haven Grid,2025-11-12T20:25:00+00:00,MW,-0.7670000000000066
Milford Haven Grid,2025-11-12T20:30:00+00:00,MW,-0.7659999999999982
Milford Haven Grid,2025-11-12T20:35:00+00:00,MW,-0.813999999999993
Milford Haven Grid,2025-11-12T20:40:00+00:00,MW,-0.6729999999999983
Milford Haven Grid,2025-11-12T20:45:00+00:00,MW,-0.7049999999999983
Milford Haven Grid,2025-11-12T20:50:00+00:00,MW,-0.6060000000000088
Milford Haven Grid,2025-11-12T20:55:00+00:00,MW,-0.6820000000000022
Milford Haven Grid,2025-11-12T21:00:00+00:00,MW,-0.7930000000000064
Milford Haven Grid,2025-11-12T21:05:00+00:00,MW,-0.6999999999999993
Milford Haven Grid,2025-11-12T21:10:00+00:00,MW,-0.6630000000000038
Milford Haven Grid,2025-11-12T21:15:00+00:00,MW,-0.6229999999999976
Milford Haven Grid,2025-11-12T21:20:00+00:00,MW,-0.6729999999999947
Milford Haven Grid,2025-11-12T21:25:00+00:00,MW,-0.5780000000000065
Milford Haven Grid,2025-11-12T21:30:00+00:00,MW,-0.5889999999999986
Milford Haven Grid,2025-11-12T21:35:00+00:00,MW,-0.5710000000000051
Milford Haven Grid,2025-11-12T21:40:00+00:00,MW,-0.5890000000000022
Milford Haven Grid,2025-11-12T21:45:00+00:00,MW,-0.5350000000000001
Milford Haven Grid,2025-11-12T21:50:00+00:00,MW,-0.5749999999999957
Milford Haven Grid,2025-11-12T21:55:00+00:00,MW,-0.5040000000000013
Milford Haven Grid,2025-11-12T22:00:00+00:00,MW,-0.4910000000000032
Milford Haven Grid,2025-11-12T22:05:00+00:00,MW,-0.36599999999999966
Milford Haven Grid,2025-11-12T22:10:00+00:00,MW,-0.3509999999999991
Milford Haven Grid,2025-11-12T22:15:00+00:00,MW,-0.2759999999999998
Milford Haven Grid,2025-11-12T22:20:00+00:00,MW,-0.2700000000000031
Milford Haven Grid,2025-11-12T22:25:00+00:00,MW,-0.237999999999996
Milford Haven Grid,2025-11-12T22:30:00+00:00,MW,-0.36599999999999966
Milford Haven Grid,2025-11-12T22:35:00+00:00,MW,-0.27800000000000225
Milford Haven Grid,2025-11-12T22:40:00+00:00,MW,-0.35199999999999676
Milford Haven Grid,2025-11-12T22:45:00+00:00,MW,-0.29699999999999704
Milford Haven Grid,2025-11-12T22:50:00+00:00,MW,-0.137000000000004
Milford Haven Grid,2025-11-12T22:55:00+00:00,MW,-0.30799999999999983
Milford Haven Grid,2025-11-12T23:00:00+00:00,MW,-0.3009999999999948
Milford Haven Grid,2025-11-12T23:05:00+00:00,MW,-0.2789999999999999
Milford Haven Grid,2025-11-12T23:10:00+00:00,MW,-0.26099999999999923
Milford Haven Grid,2025-11-12T23:15:00+00:00,MW,-0.29100000000000037
Milford Haven Grid,2025-11-12T23:20:00+00:00,MW,-0.22000000000000242
Milford Haven Grid,2025-11-12T23:25:00+00:00,MW,-0.23000000000000043
Milford Haven Grid,2025-11-12T23:30:00+00:00,MW,-0.27900000000000347
Milford Haven Grid,2025-11-12T23:35:00+00:00,MW,-0.33699999999999974
Milford Haven Grid,2025-11-12T23:40:00+00:00,MW,-0.2709999999999937
Milford Haven Grid,2025-11-12T23:45:00+00:00,MW,-0.3159999999999954
Milford Haven Grid,2025-11-12T23:50:00+00:00,MW,-0.1880000000000024
Milford Haven Grid,2025-11-12T23:55:00+00:00,MW,-0.1789999999999985
Milford Haven Grid,2025-11-13T00:00:00+00:00,MW,-0.21399999999999864
